IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
139255;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102006;Epicéa;Picea;abies;;60;9;Jeune (arbre)Adulte;NON;6859763.24789,645305.347999
2024288;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060128;Epicéa;Picea;abies;;0;0;;NON;6858056.5459,660147.394999
139244;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000101025;Epicéa;Picea;abies;;70;10;Jeune (arbre)Adulte;NON;6859769.8839,645337.503999
2015711;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320021;Epicéa;Picea;abies;;105;17;Adulte;NON;6859673.2219,659205.991999
187466;Arbre;DASCO;PARIS 20E ARRDT;;;ECOLE MATERNELLE / 94 RUE COURONNES;084704008;Epicéa;Picea;abies;;90;8;Jeune (arbre)Adulte;NON;6863517.0009,655067.059999
160479;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 144;D00000144023;Epicéa;Picea;abies;;30;4;;;6867548.54989,657446.925999
2024433;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801154;Epicéa;Picea;asperata;;0;0;;NON;6858086.1709,660180.468999
191107;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 35 AVENUE EMILE ZOLA;070801005;Epicéa;Picea;abies;;50;9;Jeune (arbre);NON;6860963.95689,647282.543999
160477;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 25;D00000025010;Epicéa;Picea;abies;;160;15;;;6867611.09989,656435.042999
2033520;Arbre;DJS;SEINE-SAINT-DENIS;TENNIS;;PARC DES SPORTS INTERDEPARTEMENTAL DE BOBIGNY / 40 AVENUE DE LA DIVISION LECLERC - BOBIGNY;000206002;Epicéa;Picea;abies;;20;5;;NON;6867826.3919,657590.646999
197767;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320005;Epicéa;Picea;pungens;;70;10;Jeune (arbre)Adulte;NON;6859943.9599,656755.693999
2012242;Arbre;Jardin;BOIS DE VINCENNES;;;INSEP / AVENUE DU TREMBLAY;00090049;Epicéa;Picea;abies;;90;10;Adulte;NON;6859465.63589,659515.347999
111622;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230026;Epicéa;Picea;abies;;20;3;;;6864674.80389,654966.785999
2024428;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480784;Epicéa;Picea;pungens;;0;0;;NON;6858073.23989,660166.918
2024290;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060129;Epicéa;Picea;abies;;0;0;;NON;6858065.8099,660149.965
2008139;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE DES BATIGNOLLES;00000227;Epicéa;Picea;pungens f. Glauca;;20;4;Jeune (arbre);NON;6865451.6429,649876.632999
198040;Arbre;DJS;PARIS 13E ARRDT;;;CENTRE SPORTIF GEORGES CARPENTIER / 81 BOULEVARD MASSENA;00010434;Epicéa;Picea;n. sp.;;100;12;Adulte;NON;6858018.10689,653581.858999
2033471;Arbre;Jardin;PARIS 16E ARRDT;;;JARDINETS DE LA PLACE DE LA PORTE D AUTEUIL / 4X PLACE DE LA PORTE D AUTEUIL;000101005;Epicéa;Picea;abies;;30;5;Jeune (arbre);NON;6861194.6499,645586.260999
2024181;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060175;Epicéa;Picea;gemmata;;0;0;;NON;6858054.7289,660093.978999
160464;Arbre;CIMETIERE;PARIS 20E ARRDT;;;CIMETIERE DU PERE LACHAISE / DIV 94;D00000094002;Epicéa;Picea;abies;;110;10;Adulte;NON;6862449.3809,655936.556999
2030918;Arbre;DJS;PARIS 13E ARRDT;;;CENTRE SPORTIF BAUDRICOURT / 115 RUE DE TOLBIAC;000103003;Epicéa;Picea;abies;;20;2;;NON;6858643.5099,653166.589999
191109;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 35 AVENUE EMILE ZOLA;070801004;Epicéa;Picea;abies;;35;7;Jeune (arbre);NON;6860963.30489,647280.427999
184447;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 17 RUE VOLONTAIRES;06100001;Epicéa;Picea;abies;;40;7;Jeune (arbre)Adulte;NON;6860460.31289,649181.765999
110944;Arbre;Jardin;PARIS 14E ARRDT;Souris Verte;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0312A1002;Epicéa;Picea;breweriana;;39;5;Jeune (arbre)Adulte;NON;6858210.5839,651391.772999
2024280;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480624;Epicéa;Picea;schrenkiana;;0;0;;NON;6858030.9309,660121.671999
2011493;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00150036;Epicéa;Picea;abies;;80;8;Adulte;NON;6860053.1879,659045.305999
2022257;Arbre;Jardin;PARIS 14E ARRDT;Grande pelouse;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;031302005;Epicéa;Picea;orientalis;;41;5;Jeune (arbre)Adulte;NON;6858249.51989,651300.069999
2015713;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320023;Epicéa;Picea;abies;;70;14;Adulte;NON;6859670.25089,659205.533999
2024260;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480634;Epicéa;Picea;orientalis;;0;0;;NON;6858051.5779,660112.930999
2015707;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320016;Epicéa;Picea;abies;;0;0;;NON;6859675.0339,659203.399999
191668;Arbre;PERIPHERIQUE;PARIS 17E ARRDT;;;TALUS N°20-00;092000024;Epicéa;Picea;abies;;55;6;Adulte;NON;6866965.3519,650421.221999
201272;Arbre;DJS;PARIS 17E ARRDT;;;CENTRE SPORTIF COURCELLES / 209 RUE DE COURCELLES;295102003;Epicéa;Picea;abies;;40;4;Jeune (arbre);;6865728.00189,648084.144999
2024264;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801130;Epicéa;Picea;abies;;0;0;;NON;6858068.9079,660115.199999
105750;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DE CHOISY;00000135;Epicéa;Picea;pungens;;30;4;;;6858864.8969,653071.990999
160471;Arbre;CIMETIERE;PARIS 14E ARRDT;;;CIMETIERE DE MONTPARNASSE GRAND / DIV 9;D00000009003;Epicéa;Picea;abies;;140;15;Adulte;NON;6859986.73689,650371.332999
200534;Arbre;DJS;PARIS 12E ARRDT;;;TERRAIN EDUCATION PHYSIQUE LOUIS BRAILLE / 24 RUE LOUIS BRAILLE;000101017;Epicéa;Picea;n. sp.;;45;8;Jeune (arbre);NON;6860077.82589,656166.359999
160467;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE SAINT-OUEN NOUV / DIV 11;D00000011001;Epicéa;Picea;abies;;95;8;Adulte;NON;6867637.1669,652291.765999
136348;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040064;Epicéa;Picea;abies;''Clanbrassiliana'';25;4;Jeune (arbre)Adulte;NON;6860984.1569,645178.281999
2031115;Arbre;Jardin;PARIS 16E ARRDT;Canton 02;;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;000208003;Epicéa;Picea;pungens;;15;2;;NON;6862577.17289,647726.309999
2023865;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720000040;Epicéa;Picea;wilsonii;;0;0;;NON;6858007.24289,660046.588999
2013327;Arbre;Jardin;BOIS DE VINCENNES;;;INSEP / AVENUE DU TREMBLAY;00020076;Epicéa;Picea;abies;;50;9;Jeune (arbre)Adulte;NON;6859524.7079,659926.588999
2015709;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320018;Epicéa;Picea;abies;;0;0;;NON;6859673.4099,659202.171999
191275;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE DES MORILLONS;073001012;Epicéa;Picea;abies;;25;6;Jeune (arbre);NON;6859340.3299,648705.594999
136350;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040066;Epicéa;Picea;pungens;;128;21;Adulte;NON;6860969.2709,645177.923999
139903;Arbre;Jardin;PARIS 19E ARRDT;;;MAIL MARCEL ACHARD;00000062;Epicéa;Picea;abies;;45;0;;;6863885.61489,654311.441999
199805;Arbre;DJS;PARIS 20E ARRDT;;;CENTRE SPORTIF LAGNY / 21 RUE DE LAGNY;000202003;Epicéa;Picea;pungens;;55;12;Jeune (arbre)Adulte;NON;6861255.6909,656104.029999
125804;Arbre;Jardin;PARIS 15E ARRDT;;;JARDIN DE L''ATLANTIQUE;00000035;Epicéa;Picea;pungens;;100;0;;;6860123.1589,649970.623999
119461;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE DE LA MADONE / 30 RUE MARC SEGUIN;000104010;Epicéa;Picea;pungens f. Glauca;;35;6;Jeune (arbre);NON;6866094.61089,653199.344999
2007666;Arbre;Alignement;PARIS 15E ARRDT;N°10;;RUE JONGKIND;000202001;Epicéa;Picea;n. sp.;;45;8;Adulte;NON;6860123.0899,647149.775999
188367;Arbre;DASCO;PARIS 20E ARRDT;;;ECOLE MATERNELLE / 61 RUE VITRUVE;079801003;Epicéa;Picea;abies;;80;12;Adulte;NON;6862334.13089,656487.121999
125867;Arbre;Jardin;PARIS 14E ARRDT;Station RER;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0523A1003;Epicéa;Picea;n. sp.;;44;5;Jeune (arbre)Adulte;NON;6858056.85489,651448.705999
123702;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE CHARLES PEGUY / 21 RUE ROTTEMBOURG;000102020;Epicéa;Picea;pungens f. Glauca;;95;10;Adulte;NON;6860071.3169,656491.637999
108536;Arbre;Jardin;PARIS 16E ARRDT;Canton 05;;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;000502003;Epicéa;Picea;n. sp.;;70;8;Adulte;NON;6862452.6369,647896.324999
139253;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102004;Epicéa;Picea;abies;;90;11;Adulte;NON;6859757.6629,645308.998999
2016684;Arbre;Jardin;PARIS 16E ARRDT;;;JARDINS DE LA PORTE DE SAINT CLOUD / AVENUE EDOUARD VAILLANT;000204003;Epicéa;Picea;n. sp.;;113;14;Adulte;NON;6859956.4179,645268.459999
2025193;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DE L HOPITAL SAINTE PERINE / 41 RUE MIRABEAU;000303021;Epicéa;Picea;abies;''Pendula'';50;10;Adulte;NON;6860816.5349,646409.504999
