parcelle;variete;phyto;rdt
1;V1;Avec;5652
2;V1;Avec;5583
3;V1;Avec;5612
4;V1;Avec;5735
5;V1;Avec;5704
6;V1;Avec;5544
7;V1;Avec;5563
8;V1;Avec;5610
9;V1;Avec;5641
10;V1;Avec;5637
11;V1;Sans;5581
12;V1;Sans;5808
13;V1;Sans;5582
14;V1;Sans;5528
15;V1;Sans;5754
16;V1;Sans;5676
17;V1;Sans;5558
18;V1;Sans;5724
19;V1;Sans;5619
20;V1;Sans;5565
21;V2;Avec;5458
22;V2;Avec;5591
23;V2;Avec;5501
24;V2;Avec;5714
25;V2;Avec;5708
26;V2;Avec;5731
27;V2;Avec;5691
28;V2;Avec;5571
29;V2;Avec;5613
30;V2;Avec;5359
31;V2;Sans;5744
32;V2;Sans;5771
33;V2;Sans;5592
34;V2;Sans;5499
35;V2;Sans;5437
36;V2;Sans;5413
37;V2;Sans;5581
38;V2;Sans;5268
39;V2;Sans;5526
40;V2;Sans;5914
41;V3;Avec;5330
42;V3;Avec;5485
43;V3;Avec;5712
44;V3;Avec;5499
45;V3;Avec;5461
46;V3;Avec;5444
47;V3;Avec;5412
48;V3;Avec;5396
49;V3;Avec;5466
50;V3;Avec;5400
51;V3;Sans;5431
52;V3;Sans;5599
53;V3;Sans;5455
54;V3;Sans;5435
55;V3;Sans;5371
56;V3;Sans;5499
57;V3;Sans;5623
58;V3;Sans;5367
59;V3;Sans;5432
60;V3;Sans;5475
61;V4;Avec;5844
62;V4;Avec;5713
63;V4;Avec;5841
64;V4;Avec;5716
65;V4;Avec;5803
66;V4;Avec;5725
67;V4;Avec;5881
68;V4;Avec;5672
69;V4;Avec;5869
70;V4;Avec;5602
71;V4;Sans;5766
72;V4;Sans;5408
73;V4;Sans;5947
74;V4;Sans;5644
75;V4;Sans;5848
76;V4;Sans;5809
77;V4;Sans;5627
78;V4;Sans;5881
79;V4;Sans;5649
80;V4;Sans;5799
